Alt (m), Press (Pa), Dens (kg/m^3), Temp (K)
  15501, 1.115332e+04,  1.794999e-01, 2.165000e+02
  15601, 1.097934e+04,  1.766999e-01, 2.165000e+02
  15701, 1.080807e+04,  1.739435e-01, 2.165000e+02
  15801, 1.063947e+04,  1.712301e-01, 2.165000e+02
  15901, 1.047350e+04,  1.685591e-01, 2.165000e+02
  16001, 1.031012e+04,  1.659297e-01, 2.165000e+02
  16101, 1.014929e+04,  1.633413e-01, 2.165000e+02
  16201, 9.990974e+03,  1.607933e-01, 2.165000e+02
  16301, 9.835123e+03,  1.582851e-01, 2.165000e+02
  16401, 9.681703e+03,  1.558160e-01, 2.165000e+02
  16501, 9.530676e+03,  1.533854e-01, 2.165000e+02
  16601, 9.382005e+03,  1.509927e-01, 2.165000e+02
  16701, 9.235654e+03,  1.486373e-01, 2.165000e+02
  16801, 9.091585e+03,  1.463187e-01, 2.165000e+02
  16901, 8.949763e+03,  1.440362e-01, 2.165000e+02
  17001, 8.810154e+03,  1.417894e-01, 2.165000e+02
  17101, 8.672723e+03,  1.395776e-01, 2.165000e+02
  17201, 8.537435e+03,  1.374003e-01, 2.165000e+02
  17301, 8.404258e+03,  1.352570e-01, 2.165000e+02
  17401, 8.273159e+03,  1.331471e-01, 2.165000e+02
  17501, 8.144104e+03,  1.310701e-01, 2.165000e+02
  17601, 8.017063e+03,  1.290255e-01, 2.165000e+02
  17701, 7.892003e+03,  1.270128e-01, 2.165000e+02
  17801, 7.768894e+03,  1.250315e-01, 2.165000e+02
  17901, 7.647705e+03,  1.230811e-01, 2.165000e+02
  18001, 7.528407e+03,  1.211611e-01, 2.165000e+02
  18101, 7.410970e+03,  1.192711e-01, 2.165000e+02
  18201, 7.295365e+03,  1.174106e-01, 2.165000e+02
  18301, 7.181563e+03,  1.155791e-01, 2.165000e+02
  18401, 7.069537e+03,  1.137761e-01, 2.165000e+02
  18501, 6.959258e+03,  1.120013e-01, 2.165000e+02
  18601, 6.850699e+03,  1.102542e-01, 2.165000e+02
  18701, 6.743833e+03,  1.085343e-01, 2.165000e+02
  18801, 6.638635e+03,  1.068413e-01, 2.165000e+02
  18901, 6.535078e+03,  1.051746e-01, 2.165000e+02
  19001, 6.433136e+03,  1.035340e-01, 2.165000e+02
  19101, 6.332784e+03,  1.019189e-01, 2.165000e+02
  19201, 6.233998e+03,  1.003291e-01, 2.165000e+02
  19301, 6.136752e+03,  9.876403e-02, 2.165000e+02
  19401, 6.041024e+03,  9.722339e-02, 2.165000e+02
  19501, 5.946789e+03,  9.570678e-02, 2.165000e+02
  19601, 5.854024e+03,  9.421383e-02, 2.165000e+02
  19701, 5.762706e+03,  9.274417e-02, 2.165000e+02
  19801, 5.672812e+03,  9.129744e-02, 2.165000e+02
  19901, 5.584321e+03,  8.987327e-02, 2.165000e+02
  20001, 5.496913e+03,  8.842570e-02, 2.166000e+02
  20101, 5.410913e+03,  8.700210e-02, 2.167000e+02
  20201, 5.326297e+03,  8.560206e-02, 2.168000e+02
  20301, 5.243043e+03,  8.422518e-02, 2.169000e+02
  20401, 5.161127e+03,  8.287106e-02, 2.170000e+02
  20501, 5.080528e+03,  8.153933e-02, 2.171000e+02
  20601, 5.001224e+03,  8.022959e-02, 2.172000e+02
  20701, 4.923193e+03,  7.894148e-02, 2.173000e+02
  20801, 4.846415e+03,  7.767463e-02, 2.174000e+02
  20901, 4.770869e+03,  7.642867e-02, 2.175000e+02
  21001, 4.696534e+03,  7.520327e-02, 2.176000e+02
  21101, 4.623391e+03,  7.399806e-02, 2.177000e+02
  21201, 4.551420e+03,  7.281270e-02, 2.178000e+02
  21301, 4.480601e+03,  7.164686e-02, 2.179000e+02
  21401, 4.410917e+03,  7.050022e-02, 2.180000e+02
  21501, 4.342347e+03,  6.937243e-02, 2.181000e+02
  21601, 4.274873e+03,  6.826320e-02, 2.182000e+02
  21701, 4.208479e+03,  6.717219e-02, 2.183000e+02
  21801, 4.143145e+03,  6.609911e-02, 2.184000e+02
  21901, 4.078855e+03,  6.504365e-02, 2.185000e+02
  22001, 4.015591e+03,  6.400552e-02, 2.186000e+02
  22101, 3.953337e+03,  6.298442e-02, 2.187000e+02
  22201, 3.892075e+03,  6.198006e-02, 2.188000e+02
  22301, 3.831790e+03,  6.099217e-02, 2.189000e+02
  22401, 3.772466e+03,  6.002046e-02, 2.190000e+02
  22501, 3.714087e+03,  5.906467e-02, 2.191000e+02
  22601, 3.656637e+03,  5.812453e-02, 2.192000e+02
  22701, 3.600102e+03,  5.719976e-02, 2.193000e+02
  22801, 3.544465e+03,  5.629012e-02, 2.194000e+02
  22901, 3.489714e+03,  5.539536e-02, 2.195000e+02
  23001, 3.435832e+03,  5.451521e-02, 2.196000e+02
  23101, 3.382806e+03,  5.364944e-02, 2.197000e+02
  23201, 3.330623e+03,  5.279780e-02, 2.198000e+02
  23301, 3.279267e+03,  5.196006e-02, 2.199000e+02
  23401, 3.228726e+03,  5.113599e-02, 2.200000e+02
  23501, 3.178987e+03,  5.032535e-02, 2.201000e+02
  23601, 3.130036e+03,  4.952792e-02, 2.202000e+02
  23701, 3.081860e+03,  4.874347e-02, 2.203000e+02
  23801, 3.034447e+03,  4.797181e-02, 2.204000e+02
  23901, 2.987785e+03,  4.721269e-02, 2.205000e+02
  24001, 2.941860e+03,  4.646593e-02, 2.206000e+02
  24101, 2.896662e+03,  4.573131e-02, 2.207000e+02
  24201, 2.852179e+03,  4.500863e-02, 2.208000e+02
  24301, 2.808398e+03,  4.429769e-02, 2.209000e+02
  24401, 2.765309e+03,  4.359829e-02, 2.210000e+02
  24501, 2.722900e+03,  4.291024e-02, 2.211000e+02
  24601, 2.681160e+03,  4.223336e-02, 2.212000e+02
  24701, 2.640078e+03,  4.156745e-02, 2.213000e+02
  24801, 2.599644e+03,  4.091234e-02, 2.214000e+02
  24901, 2.559847e+03,  4.026784e-02, 2.215000e+02
  25001, 2.520676e+03,  3.963377e-02, 2.216000e+02
  25101, 2.482123e+03,  3.900997e-02, 2.217000e+02
  25201, 2.444176e+03,  3.839627e-02, 2.218000e+02
  25301, 2.406826e+03,  3.779248e-02, 2.219000e+02
  25401, 2.370063e+03,  3.719846e-02, 2.220000e+02
  25501, 2.333877e+03,  3.661404e-02, 2.221000e+02
  25601, 2.298261e+03,  3.603905e-02, 2.222000e+02
  25701, 2.263203e+03,  3.547335e-02, 2.223000e+02
  25801, 2.228696e+03,  3.491677e-02, 2.224000e+02
  25901, 2.194729e+03,  3.436917e-02, 2.225000e+02
  26001, 2.161296e+03,  3.383040e-02, 2.226000e+02
  26101, 2.128386e+03,  3.330031e-02, 2.227000e+02
  26201, 2.095992e+03,  3.277877e-02, 2.228000e+02
  26301, 2.064105e+03,  3.226561e-02, 2.229000e+02
  26401, 2.032718e+03,  3.176072e-02, 2.230000e+02
  26501, 2.001821e+03,  3.126395e-02, 2.231000e+02
  26601, 1.971408e+03,  3.077516e-02, 2.232000e+02
  26701, 1.941469e+03,  3.029423e-02, 2.233000e+02
  26801, 1.911999e+03,  2.982103e-02, 2.234000e+02
  26901, 1.882989e+03,  2.935542e-02, 2.235000e+02
  27001, 1.854432e+03,  2.889729e-02, 2.236000e+02
  27101, 1.826320e+03,  2.844651e-02, 2.237000e+02
  27201, 1.798647e+03,  2.800295e-02, 2.238000e+02
  27301, 1.771405e+03,  2.756651e-02, 2.239000e+02
  27401, 1.744587e+03,  2.713706e-02, 2.240000e+02
  27501, 1.718187e+03,  2.671448e-02, 2.241000e+02
  27601, 1.692199e+03,  2.629868e-02, 2.242000e+02
  27701, 1.666614e+03,  2.588952e-02, 2.243000e+02
  27801, 1.641428e+03,  2.548691e-02, 2.244000e+02
  27901, 1.616633e+03,  2.509073e-02, 2.245000e+02
  28001, 1.592224e+03,  2.470088e-02, 2.246000e+02
  28101, 1.568194e+03,  2.431727e-02, 2.247000e+02
  28201, 1.544537e+03,  2.393977e-02, 2.248000e+02
  28301, 1.521247e+03,  2.356830e-02, 2.249000e+02
  28401, 1.498318e+03,  2.320276e-02, 2.250000e+02
